"Historical Burger";"Historical Tap Beers";"Historical Can Beers";"Historical Facebook Event";"Historical Sticker"
"The Hearty Queen - swiss cheese, smoked brisket on a sesame seed bun";"Stone Arrogant Bastard Ale";"Bell's Oberon Ale, 21st Amendment El Sully, Left Hand Milk Stout, White Claw Hard Seltzer Mango, Modelo Especial, Delirium Tremens";"https://www.google.com/search?q=https://facebook.com/events/6800023";"sticker786.svg"
"The Roasted Warrior - sprouts, arugula, caramelized onions on a potato bun";"Trillium Congress Street IPA";"Blue Moon Belgian White, Modelo Especial, Angry Orchard Crisp Apple, Natural Light, Cutwater Tequila Margarita, Genesee Cream Ale";"https://www.google.com/search?q=https://facebook.com/events/7537454";"sticker790.png"
"The Sassy Rancher - jalapeño poppers, pepper jack cheese, sprouts, roasted red peppers on a pretzel bun";"Sam Adams Boston Lager, Cantillon Gueuze, SweetWater IPA, Deschutes The Abyss";"Coors Banquet, Dogfish Head Punkin Ale, Odell 90 Shilling Ale, Natural Light, Tecate";"https://www.google.com/search?q=https://facebook.com/events/9185982";"sticker303.svg"
"The Smothered Hunter - cheddar cheese, pulled pork, chorizo on a rye bun";"Half Acre Daisy Cutter Pale Ale, Monkish Foggy Glasses";"Left Hand Milk Stout, Heineken 0.0, Nutrl Watermelon, Anchor Steam Beer, Miller High Life, Stella Artois";"https://www.google.com/search?q=https://facebook.com/events/7281071";"sticker186.jpg"
"The Sassy Legend - blue cheese crumbles, goat cheese, salsa, sriracha mayo on a potato bun";"Cantillon Gueuze, Pizza Port Chronic Amber Ale, Goose Island IPA, Yuengling Lager";"21st Amendment Brew Free! or Die IPA, Ballast Point Sculpin IPA, Tecate, Busch Light, 21st Amendment El Sully, Red Stripe Lager";"https://www.google.com/search?q=https://facebook.com/events/5599930";"sticker550.jpg"
"The Classic Patriot - arugula, feta cheese on a pretzel bun";"Hill Farmstead Susan, Allagash White, Tree House Julius";"Uinta Cutthroat Pale Ale, New Belgium Voodoo Ranger IPA, 21st Amendment El Sully, Henry's Hard Soda";"https://www.google.com/search?q=https://facebook.com/events/1959718";"sticker628.svg"
"The Cool King - caramelized onions, pineapple-glaze on a potato bun";"Cantillon Gueuze, Alesmith Speedway Stout, Lagunitas Daytime IPA";"Lindemans Framboise Lambic, JuneShine Hard Kombucha, Natural Light, Goose Island IPA, Miller High Life, Press Seltzer";"https://www.google.com/search?q=https://facebook.com/events/1261370";"sticker939.jpg"
"The Smoky Queen - roasted red peppers, guacamole, pepper jack cheese on a sesame seed bun";"Jester King Le Petit Prince, Ballast Point Sculpin IPA";"Troegs Perpetual IPA, Chimay White, JuneShine Hard Kombucha, Wicked Weed Pernicious IPA, Old Style, Voodoo Ranger Juice Force IPA";"https://www.google.com/search?q=https://facebook.com/events/6577487";"sticker458.jpg"
"The Rich Rancher - guacamole, jalapeño poppers on a gluten-free bun";"KBS, Pabst Blue Ribbon, Fremont Bourbon Barrel Aged Dark Star";"Genesee Cream Ale, Narragansett Fresh Catch, Goose Island IPA, Heineken 0.0";"https://www.google.com/search?q=https://facebook.com/events/5128249";"sticker259.png"
"The Crispy Legend - tzatziki sauce, BBQ sauce, crispy onion straws, pepper jack cheese on a kaiser roll";"Funky Buddha Last Snow, Dogfish Head Palo Santo Marron, Half Acre Daisy Cutter Pale Ale, Bell's Oberon Ale";"Goose Island IPA, Voodoo Ranger Juice Force IPA, Twisted Tea Original, Delirium Tremens, Corsendonk Dubbel, New Glarus Moon Man";"https://www.google.com/search?q=https://facebook.com/events/1958098";"sticker565.svg"
